EmpID,BiasInfluentialFactor,FitmentPercent
5664,DegreeBranch,89.46663486863288
23568,DegreeBranch,90.38488374282625
21490,MartialStatus,84.83770637861927
8363,,46.53785477525791
6165,Gender,80.13296137267194
17679,,47.57703319980706
9715,DegreeBranch,83.31626227948009
12591,,46.388256696361694
6140,,47.07679393849908
21018,,46.82749708302385
13221,DegreeBranch,82.7132365249608
23585,YearsOfExperince,82.4651772922444
22575,,80.80540969910633
6078,HighestDegree,89.98522779203516
24125,Gender,82.39373803519008
18073,,52.06804597524529
21420,,77.97548845421375
13218,YearsOfExperince,83.42030204371716
8728,,45.65326210906578
21541,,51.91404413074316
12905,YearsOfExperince,88.68647842986951
19873,Gender,80.72350810648504
6947,YearsOfExperince,90.11690152093959
19019,DegreeBranch,81.55406759329573
24372,,47.70524168272581
5298,Gender,80.55491211459771
18306,,46.74322174510941
22877,,47.830984124163436
15511,,79.28146235901106
11889,LatestDegreeCGPA,79.72890613273552
9848,Gender,83.85201258975786
4944,Gender,82.85525367799242
4689,CurrentCompanyType,81.21698882821026
24333,HighestDegree,89.8057399215773
12186,EmpScore,83.31275824807922
2936,DegreeBranch,82.64694299206697
5082,,47.91192836979637
22236,EmpScore,89.24717651234009
19221,HighestDegree,89.9170277928205
20858,DegreeBranch,74.5556054921186
16461,,45.87287615172421
22064,,46.4125624142049
3175,DegreeBranch,82.30482866610087
18407,DegreeBranch,85.49998964391933
3684,Gender,82.21222615924682
2198,,51.3347924730875
7540,Gender,82.1535467530812
12700,DegreeBranch,89.88768604094632
17503,DegreeBranch,82.83636395988215
9153,,45.69188897993395
12564,,55.22449136723144
16511,Gender,80.66978823584006
16396,,49.18147992172538
6871,HighestDegree,82.99174955758167
9376,YearsOfExperince,83.12775212979307
7865,EmpScore,82.92870492346765
20616,,46.540107553166244
8839,DegreeBranch,90.27394088456091
15788,DegreeBranch,89.75100516958156
10040,,78.65559224447979
6147,,47.584394436043354
24148,EmpScore,82.0063852225729
4187,,45.68553091149908
18097,,57.50187274037607
11617,DegreeBranch,82.8005504366215
3642,Gender,81.9871726067689
17990,,81.0509412909916
10677,DegreeBranch,82.65633178018572
2215,DegreeBranch,90.26935191999661
9784,EmpScore,82.73383450817964
13451,YearsOfExperince,83.01636656170226
16266,MartialStatus,84.19308117766991
19313,DegreeBranch,82.2049131950591
16790,Gender,81.02968413644903
21204,,45.98172548445961
24019,CurrentCompanyType,67.76260373235012
14539,Gender,82.49634698041653
3123,HighestDegree,79.26628088428312
9647,HighestDegree,83.37286603462803
18930,YearsOfExperince,81.32700315289952
23676,,79.20931845912122
16808,,46.3310739547385
23101,Gender,82.43352974044056
3010,LatestDegreeCGPA,62.591865414898486
4544,DegreeBranch,82.20404760505299
22861,,47.9402453213519
10897,YearsOfExperince,90.56567393603856
13475,DegreeBranch,70.63580252540424
23461,EmpScore,90.22482039863691
19877,Gender,81.54448774094816
10949,,46.97239094888168
13759,Gender,82.409459866774
9443,YearsOfExperince,81.61983910145375
5606,EmpScore,90.169284782082
21658,Gender,82.6346884561862
9731,,46.47171709763553
16330,YearsOfExperince,82.61866038522922
18456,,76.45146433450832
22486,Gender,83.17215904265764
4900,Gender,81.65781986727335
12433,Gender,83.87789598795132
10757,DegreeBranch,82.53216558026057
20969,CurrentCompanyType,88.95130764509427
4565,,47.70197144195488
16117,EmpScore,82.96782752351206
22266,Gender,82.48224703657722
23691,DegreeBranch,81.94698364191798
14468,Gender,81.57695471861376
9433,DegreeBranch,89.46573361519306
2730,EmpScore,89.83809448295362
13205,YearsOfExperince,83.22003685626078
5829,,46.5409109667722
2418,Gender,82.33761494267334
2634,DegreeBranch,84.24778065463917
2693,Gender,79.1362369760466
22436,Gender,83.03600160371099
8840,Gender,82.18284310645845
4130,YearsOfExperince,82.08873763964509
13577,YearsOfExperince,81.85784168812853
16463,Gender,82.13780879948138
15922,MartialStatus,84.55085043472833
16368,,51.2221315254007
18819,DegreeBranch,82.18761267000176
14057,EmpScore,82.76030810194229
12793,DegreeBranch,89.89152608584092
12592,YearsOfExperince,82.38513364345621
18919,Gender,81.86625413337612
20836,DegreeBranch,89.8325394924278
16849,,78.91137696567861
17458,Gender,81.57899971229699
3924,DegreeBranch,89.85550052211626
9026,EmpScore,82.92932963440505
6304,YearsOfExperince,82.22805417369517
12307,YearsOfExperince,83.85367447909455
17526,,48.923040127839705
11500,,47.983332937998746
11333,DegreeBranch,82.32174451317898
12156,DegreeBranch,90.27522379645738
11591,YearsOfExperince,82.2816387241746
16930,,46.064785649080186
18677,DegreeBranch,82.81210115845697
14424,DegreeBranch,82.53423711334831
24095,,53.60513305739492
21803,LatestDegreeCGPA,72.75317487219652
24365,,43.58012229962575
21897,,77.54612540211326
12218,,46.588896491435854
6426,,81.59017104644442
18233,Gender,80.17686973093136
